label	statement
1	There are fewerwars, there are fewerpeople dying in wars now than there have been in quite some time.
1	Says Rob Portman said the auto rescue was a lousy deal for Ohio.
1	Says Jeff Brandes voted to allow state-run Citizens Property Insurance to dump policies onto out-of-state, unregulated private companies.
1	Texas has a higher incarceration rate than Russia or Iran.
0	Says I was the first governor in America to endorse Mitt Romney.
1	The average student debt coming out of the University of Wisconsin-Madison is something like 28,000 dollars.
0	Candidate for governor Roy Barnes has been fighting hard to let illegal immigrants vote.
1	There have been seven investigations (of Benghazi) led mostly by Republicans in the Congress that concluded nobody did anything wrong, but there were changes we could make.
0	While states used to have regulatory power over fishing, federal law now regulates down to the tenth of the inch the minimum size of fish that anglers can keep.
1	In New Hampshire, 93 percent of Democrats, 79 percent of Republicans, 82 percent of gun owners and 60 percent of NRA households support background checks.
0	"Obama thinks the national anthem should be ""I'd Like to Teach the World to Sing."""
0	Says that Sen. Sherrod Brown is out there egging on a lot of these protesters who are spitting on policemen and going to the bathroom on policemens cars at these protests on Wall Street and other places.
1	Many types of fish and shellfish from waters across the state are labeled unsafe to eat.
0	Says Texas did not bail out a loan program he oversaw as state agriculture commissioner.
0	Says U.S. Rep. Paul Ryan promised to end health care for our seniors.
1	Says Rick Scott gave a deposition in which he invoked the Fifth Amendment 75 times about his dealings as head of Columbia/HCA hospital chain
1	Says recent studies indicate that nationally, only 8 percent of white voting-age citizens but 25 percent of African-American voting-age citizens lack government-issued photo IDs.
0	If Cory Gardner gets his way, youd better stock up on condoms.
1	Since 2009, weve cut homelessness (among veterans) by a third.
0	Says a man opted out of Obamacare after the marketplace launched on Oct. 1, 2013, and was informed he owed a $4,000 fine.
1	Lizbeth Benacquistos supporters would make (abortion) illegal in all cases, including rape, incest, even to save a womans life.
1	There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.
0	"The Democratic health care plan is a ""government takeover of our health programs."""
1	The U.S. Court of Appeals for the Fourth Circuit compared the health care law to buying a pepperoni and ham pizza from Dominos or Pizza Hut.
1	New York is the safest big city in the nation, and our crime reductions have been steeper than any other big citys.
0	Oregon Rep. Tina Kotek, D-Portland, has never held a job nor run a business
0	Says Joe Straus was co-author of a bill that would have allowed Planned Parenthood to control public school sex education.
0	Scott Walkers income tax plan is a tax hike. It increases taxes for nearly 80% of the people in the state.
1	Our last budget committed the highest level of need-based financial aid in state history.
0	Although the governor doubled the beach fees . . . all the money, as we found out, is all going to an out-of-state company. The state isnt even getting the money for that.
1	Mt. Hood Community College is No. 1 on average and top faculty pay and benefits.
0	No federal official at any level is currently allowed to say Merry Christmas.
1	Kelly Ayotte voted to give big oil more than $20 billion in tax breaks.
1	Says Mitch McConnell credits Republicans for recent economic improvements even though they took control of the Senate only days ago.
0	Says Travis County, home to Austin, is the most liberal county in the United States.
1	For African-Americans between the ages of 17 and 20, the real unemployment rate is 51 percent.
0	One. Thats the number of new drilling permits under the Obama administration since they came into office.
1	Says Mitt Romney is committed to overturning Roe vs. Wade, and he supports such amendments that define a life as beginning at the moment of conception.
0	Says the states Medicaid waiver proposal has languished in a file cabinet at the Centers for Medicare and Medicaid Services for more than two years.
1	Says he can be on the ballot for Congress while serving time in jail.
1	"Obama ""wants a windfall profits tax on oil to go along with the new taxes he also plans for coal and natural gas."""
0	The Central Falls School system spent $100,000 on a time clock.
0	A Trump television ad shows Mexicans swarming over our southern border.
1	Says Greg Abbott has lost in court four times in just the past few days.
1	The federal government has made investments in science and technology inventing the products that led to the creation of Google.
1	Over 80 percent of the people want the shot to vote on whether to approve same-sex marriage, according to polls.
1	Says Stefani Carter repeatedly used her campaign contributors donations to rent margarita machines for our state house office.
1	After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.
0	Says of flood of non-Mexicans being apprehended at the border: These are people that are coming from states like Syria that have substantial connections back to terrorist regimes and terrorist operations.
1	Barack (Obama) has one of his biggest supporters in terms of funding, the Exelon Corporation, which has spent millions of dollars trying to make Yucca Mountain the waste depository.
1	The proposed Keystone XL oil pipeline is a bipartisan proposal.
1	Inflation-adjusted defense spending has declined 21 percent since 2010, and even if we discount the drawdowns in Iraq and Afghanistan, it has still declined by a dangerous 12 percent.
1	Says the state tax burden per citizen in New York is twice as high as in Florida.
1	41 cents out of every dollar (the U.S. spends) is borrowed from places like China.
1	Says U.S. Senate candidate David Perdue flip-flopped on releasing his tax returns.
1	Says Ronda Storms voted to fund the Taj Mahal courthouse.
1	Over 32,000 people die from #GunViolence every year. Yet, (The U.S. Centers for Disease Control and Prevention) is banned from researching ways to prevent this.
1	Says adding toll lanes on I-95 in Broward County improved rush-hour traffic for non-toll lanes from 25 mph to 45 mph.
0	Says the former president of the Czech Republic said the American people were a confederacy of fools for electing Barack Obama.
0	Youll find blacks in almost every regiment throughout the South who fought right alongside white Southerners, during the Civil War.
1	You know, we spent $3-million to study the DNA of bears in Montana.
1	Rick Perry had planned to retire from the legislature until his best friend, David Weeks, and I talked him into switching parties and running for the GOP nomination for agriculture commissioner.
0	Says he helped bring Uline company to Kenosha area, creating 800 local jobs.
1	Most of the U.S. Senate is comprised of multimillionaires.
1	Says he earned the highest possible credit ratings as state treasurer.
1	The United States gives $8 million a day to Israel and gives that country a blank check.
1	The budget I managed at the Department of Education was more than $60 million.
1	When John Kasich became governor of Ohio, there was an $8 billion budget deficit and now theres a $2 billion surplus.
1	The Koch brothers are the richest people in the world. Individually, theyre only fifth. Put them together theyre the richest in the world.
1	The Trans-Texas Corridor is dead.
0	Says Donald Trumps Make America Great Againhats were made in China.
0	They talk about this problem with binding arbitration. It doesnt make a lot of sense to me to have somebody from Los Angeles fly into Zanesville and impose a wage settlement on you ... and then theyre on the plane back to Los Angeles.
1	Tennessees appeals court judges were selected by a handful of party officials in Nashville before the system of merit selection was put into effect.
0	A Texas law says that you cant shoot bears out of the second floor of a window.
1	Tourism and retirees are the dominant economic engines in our state.
1	The average bonus [on Wall Street] is about $100,000...The bonuses on Wall Street are down 44 percent.
0	President Obamas health care law represents a government takeover of health care.
1	In head-to-head polls for the general election, I beat Hillary Clinton by more than anybody, by 11 points.
1	Republican state lawmakers are refusing to give the people of their own states their own tax dollars back in the form of (expanded) Medicaid.
1	Children who witness domestic violence are twice as likely to commit it themselves.
1	You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.
1	Says a growing number of extremely premature babies survive into healthy childhood.
0	Nobodys invited us to the Obama events in Atlanta.
0	Says Florida didnt offer special incentives to Deutsche Bank, which announced it will add 300 jobs in Florida.
1	Fifty percent of the graduating class of the year 2012 will have smoked marijuana or have done illegal drugs.
1	A poll found that 20% of young adults use (smartphones) during sex.
1	Rhode Island spends less than 10 percent of what the average state spends promoting tourism.
1	Harris County, Texas has some of the highest jailing and incarceration rates in the U.S. and the world.
1	With the tax controls we already put in place, property taxes on a typical home in December of 2014 will actually be lower than they were in December of 2010.
0	Dubious taxpayer-funded stimulus spending -- Part II.
0	America has already taken in one-fourth of Mexicos entire population.
1	The United States is the only industrialized country that does not guarantee paid time off to care for a new child.
0	Says U.S. Rep. John Barrow, D-Ga., celebrates gun ownership even in the face of school shootings.
1	There are a larger number of shark attacks in Florida than there are cases of voter fraud.
0	Says Barack Obama is the only American president who has not visited the D-Day Monument in Normandy on D-Day.
0	The first round of stimulus ... it created zero jobs.
1	One generation ago we led the world in college graduation. Were 16th today.
0	Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company
1	The Great Lakes Compact has a loophole. And the loophole is that while you cannot remove the water in a big transport, you can remove it in containers of 5.7 gallons or less.
0	We had no domestic attacks under Bush.
0	By the word religion in the First Amendment, the founders meant Christianity.
1	The Arizona State Board of Educations failure to report teachers whose certifications have been revoked or suspended ... resulted in the death of a student.
0	President Barack Obama is ending Medicare as we know it.
1	Every American now is $51,000 in debt. Thats money I owe, thats money my children owe before they even go to kindergarten, thats their check to the federal government right now.
1	Illegal immigration is lower than its been in 40 years.
0	In 2013, Dan Patrick voted against funding to test the backlog of rape kits, allowing rapists to walk free.
1	Says the area damaged by Hurricane Sandy represents roughly 10 percent of our nations economy.
1	Says Mark Warner has supported restrictions on veterans second amendment rights.
1	Russian annexation of Crimea removes a million residents of the Ukraine that have provided the margin of victory for (Viktor) Yanukovych, the pro-Moscow prime minister in his last election.
1	We doubled the size of the company (Hewlett-Packard).
1	He has asked for $932-million of earmark pork-barrel spending, nearly a million dollars for every day that hes been in the United States Senate.
0	Pres. Obamas finance team is recommending a . . . 1% tax on all transactions at any financial institution.
1	More than 50 percent of immigrants from (El Salvador, Guatemala and Honduras) use at least one major welfare program once they get here.
1	The House of Representatives has never passed a resolution of disapproval to condemn a member's behavior.
1	In the last seven years of my tenure, Texas created 1.5 million new jobs. As a matter of fact, without Texas, America would have lost 400,000 jobs.
0	Warren Buffett recently said Scrap Obamacare and Start All Over.
1	The vast, overwhelming majority of [crimes that occur with a firearm] are committed by people who dont legally possess that firearm in the first place.
1	Most of the newspapers that endorsed Alex Sink also endorsed Barack Obama.
1	The interest on the debt now is going to approach in the next couple of years ... what we spend in the national defense budget.
1	Says Scott Walker eliminated his own office of economic development in the middle of this recession.
1	60 percent of people on food assistance are working.
1	Says Hillary Clinton supported North American Free Trade Agreement), and she supported Chinas entrance into the World Trade Organization. She supported the job-killing trade deal with South Korea. She supported the Trans-Pacific Partnership.
0	No doctors who went to an American medical school will be accepting Obamacare.
1	Says Hillary Clinton supported and continues to support fracking.
0	Peter DeFazio will sneak in a 1 percent tax on all banking transactions.
1	U.S. Sen. Kay Bailey Hutchison voted to continue Roe v. Wade.
1	Just a little over 60 percent of your electric bill, my electric bill, 60 percent of that is pass-throughs, whether they be for building of nuclear plants or whatever they may be. A planned nuclear plant repair will only increase that percentage.
0	"McCain's energy plan is a ""single-answer proposition"" new domestic oil drilling."
1	New Jersey has the largest transit system in the entire country.
1	Fifteen out of the 20 most polluted cities in the world are in India and China.
0	With a bill bringing $100 million in property tax relief, the typical Wisconsin homeowner will save approximately $680 over four years.
1	Charlie Crist raised taxes in 2009 and wont rule out raising taxes again.
0	The fact that one town has three lanes dedicated to it, that kind of gets me sauced.
1	The right-to-work states have much lower level of unemployment than the union states do.
1	Texans spend $2.5 billion gambling in our neighboring states every year.
1	Because of the new health care law, Americans no longer will see their coverage dropped or capped when illness strikes.
0	Says his barehanded catch posted on YouTube is real.
1	[W]e see Americas prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world!
0	Barack Obama appeared in the video for 'Whoomp! (There it is!)'
0	Says Hillary Clinton had an undercover nurse with her at the Sept. 11 memorial ceremony in New York.
1	Says U.S. Senate candidate Joni Ernst does not support a national minimum wage.
1	Says George LeMieux falsely attacked Marco Rubio.
1	"Palin ""inherited a city with zero debt, but left it with indebtedness of over $22-million."""
1	Our graduation rate is the highest it's ever been.
0	The White House had a live video feed of the Benghazi attacks as they occurred.
0	A hidden provision in the health care law taxes sporting goods as medical devices.
1	[N]early one in three primary care doctors are forced to limit the number of Medicare patients they see.
1	TriMet is spending 4.2 million in fed funds to save $168K per year.
1	If youre a terrorist you cant fly, but an assault weapon you can buy.
0	I never considered myself a maverick.
1	The University of Wisconsin System budget is the biggest it has ever been.
0	About 47 percent of able-bodied people in the state of Maine dont work.
1	Floridas proposed amendment for medical marijuana would allow people who alleged minor ailments such as muscle spasms, neck pain, back pain and even menstrual cramps (to qualify) for government-sanctioned pot-smoking.
0	The wife of the Ferguson, Mo., police chief said African-Americans in Ferguson are feral and violent.
1	"The Rev. Wright compared ""the United States Marine Corps with Roman legionnaires who were responsible for the death of our Savior."""
1	The U.S. initially had three federal felonies: treason, piracy, and counterfeiting securities and money.
1	The U.S. Senate has one manufacturer thatd be me.
1	Says Jon Corzine gave away 14 percent raises over 4 years and he stood on the front steps of the Capitol at a public-sector union rally and said, I will fight to get you a great contract.
1	Says Colorado congressional candidate Morgan Carroll voted to allow welfare recipients to use your tax dollars at ATMs at strip clubs and pot dispensaries.
0	Nancy Pelosi wants a Windfall Tax on Retirement Income.
1	Many uninsured Americans are young.
0	We spend less on defense today as % of GDP than at any time since Pearl Harbor.
1	Susie Lee and her husband own 17 homes across the country and use their private jet to take vacations, and invest in companies like Walmart, Halliburton and GEO Group.
1	State agencies have not identified one single instance where groundwater has been damaged due to hydraulic fracking.
0	Says Illinois Democrat David Gill would end Medicare.
0	Says the Texas State Board of Education is considering eliminating references to Christmas and the Constitution in textbooks.
1	The financial penalties imposed on gay couples can cost us more than $300,000 compared with married heterosexual couples over a lifetime.
0	The Civil War wasnt about slavery.
0	Says a Senate resolution would restore $140 in monthly general assistance payments and prevent people from committing crime.
1	The governor does not have any power to veto a referendum [on same-sex marriage] that would be a constitutional amendment.
1	Says female genital mutilation is a central African problem, not an Islamic problem, as Bill Maher suggested.
0	Bernie Sanderss plan is to raise your taxes to 90 percent.
1	Says Paul Ryans budget would turn Medicare into a voucher.
0	80 to 85 percent of my campaign funds go to donations to various organizations throughout the City of Providence.
0	House Republicans required the use of Styrofoam cups in House cafeterias that are part of Koch Industries.
1	More people have watched Morning Joe than CNN and HLN 5 years in a row.
0	When President AbrahamLincoln signed his Emancipation Proclamation, there were over 300,000 slaveholders who were fighting in the Union army.
1	While Hillary Clinton plans a massive, and I mean massive, tax increase, I have proposed the largest tax reduction of any candidate who has run for president this year, Democrat or Republican.
1	40,000 veterans in Texas wont get health care because Perry rejected Obamacares Medicaid expansion.
1	More people without health care since George Bush took office; more children in poverty since George Bush took office.
1	In Wisconsin, a woman only earns 80 cents for every $1 a man earns.
1	Roughly 500,000 Georgians -- or about 5 percent of the states residents -- have gone through a background check to legally obtain a Georgia weapons carry license.
1	Says the federal government could save $175,587 by eliminating a study of the connection between cocaine and risky sex habits of the Japanese quail.
1	Twelve percent of the garbage collected in those SOLV cleanups, by volume, is plastic bags.
1	Weve had 27 (Ebola) outbreaks around the globe and theyve never spread outside of the confines of the countries that were initially affected.
0	Eighty-five percent . . . of Rhode Island tax returns that were filed for the year 2010 . . . were from individuals who earned $30,000 or less.
1	Were the only major oil-producing nation in the world with a self-imposed ban on exporting our crude oil to other nations.
0	A transcript released by Occidental College proves that Barack Obama was an Indonesian citizen.
1	Our economy (in Louisiana) has grown 50 percent faster than the national GDP, even since the national recession.
1	David Beckhams soccer stadium would get a special tax deal that lets them off the hook for $2 million in taxes every year for 30 years.
1	RIPTA has really some of the fullest buses for its transit agency size around the country.
1	Says TriMet spends $10.3 million in police contracts a year for 56 transit police who must respond to non-transit calls
1	If public employees dont pay more for benefits starting April 1, 2011, the equivalent is 1,500 state employee layoffs by June 30, 2011 and 10,000 to 12,000 state and local government employee layoffs in the next two years.
0	"Says McCain ""voted to let governments charge rape victims"" for forensic exams."
1	While the United States has seen its unemployment rate steadily decline, New Jerseys remains nearly two percent higher than the national average and more than a point higher than Connecticut and New York.
1	Weve cut the deficit by two-thirds.
1	(Flint, Mich., is) paying three times more for poison water than I am paying in Burlington, Vt., for clean water.
0	I am the only candidate who ran in either primary who said, I will not raise taxes on the middle class.
0	Says raising the state income tax rate on millionaires to offset property taxes for other residents is not a tax increase. Its a tax shift.
1	The House did vote against engagement in Kosovo, and Bill Clinton kept fighting anyway. And, then, ultimately, a vote did pass.
1	The Nordic countries are some of the few countries that meet development aid goals.
1	When I was born, defense spending was 60 percent of the budget. Its now 17 percent.
0	U.S. Rep. Phil Gingrey wants public schools to teach women to stay in their place.
1	I have never supported cap and trade.
1	As bank president, Alex Sink eliminated thousands of Florida jobs while taking over $8 million in salary and bonuses.
1	Says cities save an estimated $38 in dental costs for every $1 invested in fluoridation.
1	The insurance commissioner cant do squat about health care.
0	Sheriffs Call For Obamas Lynching While Leader Meets With GOP Senators
1	The Trans-Pacific Partnership knocks out 18,000 tariffs that other countries place on American products and goods.
1	Since December 2010 Florida has created 540,000 new jobs.
1	Online voter registration is a more secure way of doing voter registration.
0	Bicycle ownership drops by half while obesity in Rhode Island rises by 154 percent
1	California cut about $1.3 billion in child care (during the recession). Weve only reinvested about $300 million.
1	Virginia women earnonly 79 cents to each dollar earned by men...
1	David Dewhurst is the first lieutenant governor in history to have a personal security detail.
1	Say Portland Public Schools central administration makes up less than 4 percent of the staff.
0	Says Michelle Obama has 43 people on her staff; Nancy Reagan had just 3.
1	The last three days of early voting happen to be the most populated days of voting that we have in early voting.
1	We have not had unemployment this high for this long since the Great Depression.
0	Says a Canadian provincial prime minister came to Ohio for his medical treatment because of the delay in Canadian health care which would have endangered his life.
1	Most funding for tuberculosis research (is) provided by the U.S. National Institutes for Health.
1	The pension fund in the city of Providence is only 30 percent funded, about the same level as when he [Taveras] took office.
1	There is no planned air-conditioned restaurant out on the Lens.
1	Says Alex Sink supported more taxes on water and TV.
0	Congressman McCollum voted to dismantle Social Security.
1	We live in the most incarcerated country in the world.
1	Weve seen a remarkable reduction in the number of Americans being executed -- its down nearly two-thirds over the past generation.
1	The average faculty member at UW-Madison brings in close to a quarter million dollars a year in grant money.
0	Barack Obama loves Che Guevara.
0	Recent solar energy policies in Georgia have resulted in rate hikes and did not result in solar becoming any more economically viable.
0	Says campaign contributions to her rival for a state House seat was money intended for schoolchildren.
0	Wisconsin sold fresh water to California, helping that states dairy industry, and lost a bunch of jobs (and) a bunch of farmland.
1	I had the longest judicial vacancy in the history of the United States.
1	Immigrants start businesses at a faster rate; they seem to grow those businesses more successfully.
0	Says U.S. Rep. Ted Yoho said African Americans should only be given three-fifths of a vote.
1	I believe we should have tax on carbon and deal aggressively with climate change. That is not (Hillary Clintons)position.
1	Since I was elected, crime rates have been at their lowest in over a decade.
1	Theres never been a direct Supreme Court case on people who were here illegally, whether or not their kids are citizens.
0	Medicare monthly premiums will go up to $104.20 in 2012 and $247.00 in 2014 due to provisions incorporated in the Obamacare legislation, purposely delayed so as not to confuse the 2012 re-election campaigns.
0	Sen. Hutchison abandoned Republicans and stood with Democrats to ensure health care legislation would pass quickly.
1	Bill Howell has been the consistent force behind every major tax increase in Virginia in the last decade.
1	Mortgage fraud is up 400 percent in the last five years.
1	When Republicans last controlled the presidency and Congress, the number of people on food stamps (and) the number of people in low-income housing went through the roof.
1	Gov. Palin ... is somebody who actually doesn't believe that climate change is man-made.
0	Americas gun-related homicide rate would be about the same as Belgiums if you left out California, Illinois, D.C. and New Jersey, places with some of the strictest gun control laws in the U.S.
0	Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.
0	David Dewhurst has a record of promoting an income tax.
1	Under the Espionage Act, (Edward Snowden would not be) allowed to come into court and say I was justified in disclosing this information. There is no whistleblower exception in the Espionage Act.
0	After the U.S.-led military alliance ejected Saddam Husseins forces from Kuwait in 1991, the Kuwaitis never paid us.
0	People can use food stamps for anything, including to go to Hawaii, and even millionaires can qualify.
1	Says there are half as many students in one Georgia technical college than there were two years ago.
1	Half of all adults have a pre-existing condition that could affecttheir health care coverage.
0	Solar panels drain the suns energy.
1	Says he tore down hundreds of abandoned homes that served as havens for crime and reduce(d) the value of our neighborhoods.
1	Giving the facts: 73,000 jobs created ... since 11. Do you know how many direct jobs in the auto industry? 1,800.
0	Says she was never a member of the Georgia Log Cabin Republicans.
1	"Sen. Kay Bailey Hutchison's ""concession speech came with less than 20 percent of the precincts having been counted."
1	Maggie Hassan missed nearly every university system board meeting.
0	"Under the new health care law, the elderly will be denied care when they have ""passed the age limit for treatment."""
1	Says Jeb Bush said low-income women should get their life together and find a husband.
1	Says he helped save the Olympic games.
1	Ed Gillespies 2006 book promoted an individual health care mandate, and recommends that it be enforced by the IRS through the income tax code.
0	I dont know anything about David Duke.
1	And it's going to be difficult for us to do this as long as we're spending $275 million a day on a war that should have never been authorized...
1	Kasichs budget increases state spending from $50.5 billion to $55.6 billion. This is the second largest, two-year spending increase in Ohio history.
1	Kathryn Starkey only attended half of those meetings.
0	Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.
1	In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!
1	Tax increases could come into play as a result of the debt ceiling deal.
1	Ninety percent of American workers dont own their own business.
1	Says Marco Rubio opposes abortioneven in the case of rape and incest.
1	Barbara Buono by the numbers: As a Trenton politician, she voted to raise taxes 154 times. Under her, property taxes up 70 percent. Backed a 16 percent sales tax increase. Utilities, nursing homes, cell phones, parking lots, lottery wins, gyms She taxed them all. Architect of Corzines budget, she drove New Jersey $2 billion into debt. Barbara Buono by the numbers: taking New Jersey backwards.
1	Says Chris Christie vetoed Planned Parenthood funding five times over the course of his governorship.
0	Our most important work has been creating and retaining almost 55,000 Ohio jobs.
0	Donald Trump is appealing as much to Democrats as he is to Republicans.
1	After one year, Tennessees students made their biggest single-year jump in achievement ever recorded in the state.
0	Says the federal government mandates transexuals (sic) and homosexuals grabbing children in their stranger-danger zones in the name of airport security.
0	The National Rifle Association was founded by religious leaders who wanted to protect freed slaves from the Ku Klux Klan.
0	Im the only candidate in the Democratic primary, or actually on either side, who Wall Street financiers and hedge fund managers are actually running ads against.
1	Ive cut taxes for ... middle-class families, small businesses.
1	An estimated 56 million Americans don't have bank accounts.
0	The Obama administration has even joined Islamist governments in sponsoring a U.N. resolution that would shred our First Amendment by threatening to make discussion of radical Islamism potentially illegal.
0	Scott Walker has a plan to privatize state lands and wants to sell our deer to the highest bidder.
1	The economy is too weak to raise income levels.
1	Says U.S. Senate candidate Tammy Baldwin proposed a $3.9 trillion tax increase -- a tax increase so extreme that even Nancy Pelosi voted against it.
1	Were importing about 10 percent of our milk supply. Were Americas Dairyland, but yet we dont have enough milk in this state to meet the demand for our cheesemakers.
1	Forty-six states have a line-item veto for the governor.
1	No one was taken into custody for feeding the homeless.
1	Even today part of Romneys fortune is invested in China.
0	Up until two weeks ago, John McCain was a leading proponent of amnesty. Now with me challenging him, suddenly he has changed.
1	Says we brought crime rate down by 30 percent when he was mayor of Dallas.
1	Police in the United States are allowed to use tear gas even though it has been classified as a chemical weapon and banned in international conflict since 1993.
1	Much more than 50 percentof parents out there are spankers.
1	The Defense Department received only one-half of 1 percent of the nearly trillion-dollar stimulus package funding.
0	The new health care law will force seniors into Barack Obamas government-run health care program.
1	A working woman will earn $7.70 on $10.
1	President-elect Trumps immigration policies are very similar to policies that are sitting right in the Senate and the House today to temporarily suspend immigration from countries that harbor terrorism, to temporarily suspend immigration from Syria until we get better vetting.
0	Says Mitt Romney plans to fire Big Bird.
1	Says that in three legislative sessions, his proposals opening pre-kindergarten to all Texas 4-year-olds never got heard or voted out of committee.
1	If you want to see the jobs that Ive saved and created in this storm he helped create, go anywhere in Ohio.
1	Forty-five percent of those whove been unemployed, theyve been unemployed for six months or longer.
0	The ACLU has filed a suit to end prayer from the military completely.
1	Georgia has the highest flu activity in the country.
1	Today 46 percent of all Floridians owe more on their home than it is worth.
1	The Baucus health care bill would require taxes on medical devices such as X-ray machines, female condoms, HIV tests and surgical needles.
1	By spring 2014, parents of 60,000 students in New York state had refused to let them take the Common Core Tests.
1	"John McCain ""is proposing tax cuts that would give the average Fortune 500 CEO an additional $700,000 in tax cuts."""
1	Fifty years ago, the average GM employee could pay for a year of a son or daughters college tuition on just two weeks wages.
1	The United States already has the highest corporate tax rate in the world.
0	Ninety-four percent of small businesses will face higher taxes under the Democrats plan.
1	Manufacturing is having its best employment year in almost 15 years.
1	"Romney failed to take action against ""sanctuary cities"" in Massachusetts."
1	Latinos in Nevada support Educational Savings Accounts, helping more than 450,000 students access better schools. But Catherine Cortez Masto is against it.
0	I don't describe your plan as amnesty in my ad. I don't call it amnesty.
1	"California gubernatorial candidate Steve Poizner, a Republican, ""gave $10,000 to Al Gore's recount"" effort in 2000."
0	Says Hillary Clinton wants to let people just pour in. You could have 650 million people pour in and we do nothing about it. Think of it. Thats what could happen. You triple the size of our country in one week.
1	"Despite touting the economic stimulus as a great triumph, ""The very same report, however, notes that unemployment will average 10 percent for the rest of the year."""
1	Rob Portman won the fewest votes of all Ohio U. S. Senate victors since 2000.
0	The non-profit groupFeeding America is lying when it claimsthat one in five kids is fighting starvation daily in the United States.
1	I have had the challenge during this administration to suspend no less than 37 public officials in about 36 months.
1	In Virginia, people are going and getting marriage licenses who are 12 and 13, and 14 and 15 years old.
1	When the Constitution was written, (only) 20 to 25 percent of the people in the country could vote.
1	Says Rick Perry told students he couldnt attend a gubernatorial forum due to scheduling conflicts, then on forum day tweeted that hed just been running with his dog.
1	Says Texas ranks 44th nationally in education funding per pupil.
0	Says the national heath care reform is a government takeover of health care.
1	Just about everyone everywhere is spending more hours on the job, less time with their families, bringing home smaller and smaller paychecks, while theyre paying more and more at the gas pump and the grocery stores.
1	Atmospheric conditions could push a footballs pressure down approximately one-and-a-half pounds per square inch.
1	Manufacturing wages today in America on a per-hour basis are actually a bit lower than average wages in the economy as a whole.
1	Forty percent of the undocumented workers in this country entered the U.S. legally and overstayed their visa.
0	Alison Alter got an F in attendance in 2016 as an Austin parks board member and was removed by a unanimous vote of the Austin City Council.
1	"Gov. Lawton Chiles said ""if I were to become ... become speaker of the House it would be (his) worst nightmare."""
1	This is the most generous country in the world when it comes to immigration. There are a million people a year who legally immigrate to the United States.
1	Since 2004, more than 2,000 suspected terrorists have legally purchased weapons in the United States.
0	Austin mayoral candidate Steve Adler has never been active in anything that has to do with City Hall.
0	Obamacare prevents (Florida) from regulating insurance.
1	Says that when he first ran for office in the late 1980s, there were still folks who didnt have phone service. Soon Id helped ensure that everyone in North Florida could access a dial tone.
1	Kelly Ayotte has voted four times against the federal Paycheck Fairness Act.
0	An independent payment advisory board created by in the health care reform law is like a Medicare IRS with the power to cut Medicare in order to pay for new government programs.
1	When you have 8,000 veterans a year committing suicide, then you have a serious problem.
0	The people that went to school with (Barack Obama), they never saw him, they dont know who he is.
0	The immigration bill includes free Obamacars, motorcycles or scooters.
